Animal,Tag1,Tag2,Tag3,Tag4,Species,Sex
EW3,1F2B5F,,,,AS,M
EW5,847632,,,,AS,F
EW6,1F29C4,,,,AS,M
EW8,1F2F46,,,,AS,F
EW9,8477AA,,,,AS,M
EW11,842D38,,,,AS,M
EW12,84780B,,,,AS,F
EW13,1F2EDC,,,,AS,M
EW14,846A54,,,,AS,M
EW15,1F292B,,,,AS,F
EW16,1F2E1F,,,,AS,F
EW17,1F23AD,,,,AS,M
EW18,849903,842E32',,,AS,M
EW19,1F39D6,,,,AS,F
EW21,1F25E9,,,,AS,M
EW22,84724E,,,,AS,M
EW23,1F235A,,,,AS,M
EW24,1F323E,,,,AS,M
EW25,8430F2,,,,AS,M
EW26,8454C0,,,,AS,M
EW27,842E6A,8461C6,,,AS,M
EW28,1F33C4,,,,AS,M
EW29,84713D,,,,AS,F
EW30,1F39E8,,,,AS,F
EW31,844CBF,,,,AS,F
EW32,1F252C,,,,AS,M
EW33,1F2605,,,,AS,M
EW34,846EDA,,,,AS,F
EW35,844B7B,,,,AS,F
EW36,1F2F8B,,,,AS,F
EW41,1F38B8,,,,AS,F
EW37,1F2E5F,,,,AS,F
EW38,8448F2,,,,AS,F
EW39,8475A4,,,,AS,F
EW42,8445D1,,,,AS,F
EW42A,1F3057,,,,AS,F
EW43,1F2DD5,,,,AS,M
EW44,1F2937,846B96,,,AS,M
EW45,845343,,,,AS,M
EW46,846D75,,,,AS,M
EW47,845515,,,,AS,M
EW48,845FFA,,,,AS,F
EW49,8460BE,,,,AS,F
EW50,1F341B,,,,AS,F
EW51,1F29B7,,,,AS,F
EW52,1B389F,1F29F1,,,AS,F
EW53,8460D3,,,,AS,F
EW54,842D00,,,,AS,M
EW55,1B32B2,,,,AS,M
EW56,1F2B97,,,,AS,F
EW57,1F2F76,,,,AS,F
EW58,1F22EE,,,,AS,F
EW59,8436DD,,,,AS,M
EW60,1F257B,,,,AS,F
EW62,1F36CA,,,,AS,M
EW63,1B3FD0,,,,AS,F
EW64,1F322B,,,,AS,F
EW65,845EB4,,,,AS,F
EW66A,843346,,,,AS,?
EW66,844EE7,,,,AS,F
EW67,1F367B,,,,AS,F
EW68,1F2ADA,1F3109,,,AS,M
EW69,1F27E8,1F3152,,,AS,M
EW71,1F321E,,,,AS,M
EW72,1F256E,843DF4,,,AS,M
EW73,8446A1,1F2D63,,,AS,M
EW74,8435D7,,,,AS,M
EW75,8462CF,,,,AS,M
EW76,84588C,,,,AS,M
EW77,847299,,,,AS,F
EW78,846F07,84653D,,,AS,M
EW79,1F3339,1F2D3E,,,AS,M
EW80,8454A2,,,,AS,M
EW81,84341A,,,,AS,F
EW82,1F329C,,,,AS,F
EW83,1B39F3,,,,AS,F
EW84,846D2F,B46D2F,,,AS,F
EW85,845556,,,,AS,M
EW86,843A8D,,,,AS,F
EW87,1F3446,,,,AS,M
EW88,1F366A,,,,AS,M
EW89,1F3029,,,,AS,M
EW90,8430BA,,,,AS,F
EW91,847839,,,,AS,M
EW92,1F2C85,,,,AS,F
EW93,BBA8AB,,,,AS,M
EW94,1F2473,,,,AS,F
EW95,846AF8,,,,AS,M
EW96,1F249F,843342,1F27DC,,AS,M
EW97,1F2622,,,,AS,M
EW98,842CF5,,,,AS,M
EW99,1F3973,,,,AS,F
EW100,844453,,,,AS,F
EW101,1F275A,,,,AS,F
EW102,844572,,,,AS,M
EW103,1B3A21,,,,AS,M
EW104,1F36B1,,,,AS,F
EW105,1B3258,,,,AS,F
EW106,84337B,1F3280,,,AS,M
EW107,845124,842934,1F3280,1F2A0B,AS,F
EW108,1F3661,8477C2,,,AS,F
EW109,1F2BC5,,,,AS,M
EW110,843C11,,,,AS,M
EW111,8429D0,,,,AS,F
EW112,1F3285,,,,AS,M
EW113,844D74,1F242B,,,AS,M
EW114,1F2313,,,,AS,M
EW115,1F336D,,,,AS,F
EW116,1B38D0,,,,AS,F
EW117,844983,,,,AS,F
EW118,1F283C,,,,AS,M
EW116/66,84342C,,,,AS,M
EW119,8464DB,,,,AS,M
EW120,1F2920,,,,AS,M
EW121,847B4A,,,,AS,F
EW122,845DC2,,,,AS,M
EW123,1F33B5,,,,AS,M
EW124,1F2C4C,846622,,,AS,M
EW125,8448C2,,,,AS,M
EW126,842806,,,,AS,M
EW127,1F339D,,,,AS,F
EW128,1F346B,,,,AS,M
EW129,1F2E92,,,,AS,M
EW130,845496,,,,AS,M
EW131,84633C,84555F,,,AS,M
EW132,84409E,,,,AS,F
EW132A,842A9B,,,,AS,M
EW133,BBA471,,,,AS,F
EW134,844861,,,,AS,F
EW135,845B61,,,,AS,F
EW136,84742D,,,,AS,M
EW137,1F2CF0,,,,AS,F
EW138,842B14,,,,AS,M
EW139,NO TAG,,,,AS,M
EW140,843977,,,,AS,F
EW141,8447A4,,,,AS,F
EW142,844636,,,,AS,F
EW143,8462D5,,,,AS,M
EW144,1F2686,,,,AS,M
EW145,842D14,,,,AS,F
EW146,1F38E7,1F24CC,,,AS,F
EW147,846616,,,,AS,M
EW148,84700F,847CAB,,,AS,F
EW149,1F2F25,,,,AS,F
EW150,1F2929,,,,AS,F
EW203,8473A0,,,,AS,F
EW206,8460C5,,,,AS,F
EW209,1F34CB,,,,AS,F
EW212,843DF3,,,,AS,M
EW215,1F304D,,,,AS,M
EW205,842AFD,,,,AS,M
EW208,1F242A,,,,AS,M
EW211,1F2FBF,,,,AS,F
EW216,84283B,,,,AS,M
EW219,1F2868,,,,AS,M
EW213,1F37B9,,,,AS,F
EW214,1B4666,,,,AS,F
EW217,843883,,,,AS,F
EW229,845CD7,,,,AS,M
EW230,843838,,,,AS,M
EW231,1B484C,,,,AS,M
EW218,84571E,,,,AS,F
EW221,846E6E,,,,AS,F
EW222,1F30A5,847192,,,AS,F
EW234,1F398F,,,,AS,M
EW235,8429DA,,,,AS,M
EW236,847097,,,,AS,M
EW237,1F2300,,,,AS,M
EW238,1F23B1,,,,AS,M
EW239,1F2E96,,,,AS,M
EW241,8476FB,,,,AS,M
EW242,8455AD,,,,AS,M
EW223,842B9A,,,,AS,F
EW248,843BE5,,,,AS,M
EW249,1F26DB,,,,AS,M
EW224,1F22C2,,,,AS,F
EW250,1F2729,8437DC,,,AS,M
EW251,843822,,,,AS,M
EW252,1F3877,,,,AS,M
EW253,1F36D5,,,,AS,M
EW225,1F2C29,,,,AS,F
EW256,1B3A5F,,,,AS,M
EW257,84781F,,,,AS,M
EW258,8437DD,,,,AS,M
EW260,1F2DD1,,,,AS,M
EW261,8426C3,,,,AS,M
EW263,1F2972,,,,AS,M
EW263A,844CFF,,,,AS,M
EW264,1F3422,,,,AS,M
EW264A,8437F0,,,,AS,F
EW265,1F39ED,,,,AS,M
EW266,1F262D,,,,AS,M
EW266A,BBBA8B,,,,AS,M
EW226,1F384E,,,,AS,F
EW244,BBB8AC,,,,AS,M
EW246,1B44F5,,,,AS,F
EW245,BBB8B8,,,,AS,F
EW247,BBB8BC,,,,AS,F
EW254,1F3448,,,,AS,F
EW254A,1F397A,,,,AS,F
EW255,846CFB,,,,AS,F
EW259,846186,,,,AS,F
EW262,846B56,,,,AS,M
EW267,1F2F5A,,,,AS,M
EW227,84319B,,,,AS,F
EW277,843AB7,,,,AS,M
EW281,846388,,,,AS,M
EW228,846E75,,,,AS,F
EW232,1F2C1D,,,,AS,F
EW282,8475EC,,,,AS,M
EW233,1F3830,,,,AS,F
EW281,845071,,,,AS,M
EW268,1F317C,,,,AS,F
EW268A,1F234A,,,,AS,M
EW269,847192,,,,AS,F
EW271,1F2879,,,,AS,F
EW272,843D7D,,,,AS,F
EW273,1F3115,,,,AS,F
EW283,1F300D,,,,AS,M
EW284,1F39A0,,,,AS,M
EW274,845DA8,,,,AS,F
EW275,84271C,,,,AS,F
EW276,843256,,,,AS,F
EW278,BBBE55,,,,AS,F
EW279,1F2AE1,,,,AS,F
EW286,BB7769,,,,AS,M
EW290,1B2FEF,,,,AS,M
EW280,1F257D,,,,AS,F
EW292,1F292A,,,,AS,M
EW285,1F3735,,,,AS,F
EW287,844E39,,,,AS,F
EW288,844EEA,,,,AS,F
EW294,1F308E,,,,AS,M
EW299,1B3FA5,,,,AS,M?
EW300,1F2742,,,,AS,M?
EW289,845FF5,,,,AS,F
EW291,BBBE4E,,,,AS,F
EW301,842663,,,,AS,M
EW304,1F294A,,,,AS,M
EW293,845398,,,,AS,F
EW295,847D4B,,,,AS,F
EW296,1F2F39,,,,AS,F
EW305,1F2657,,,,AS,M
EW307,847155,,,,AS,M
EW297,1F361F,,,,AS,F
EW308,1F2772,,,,AS,M
EW298,1F37C2,,,,AS,F
EW302,forgot to write down,,,,AS,F
EW303,84302D,,,,AS,F
EW306,1B4DC1,1B40C1,,,AS,F
EW309,845797,,,,AS,F
EW308,845E3F,,,,AS,M
EW310,1F3920,,,,AS,F
EW312,844FB2,,,,AS,F
EW313,847796,,,,AS,F
EWAF01,1F35D1,,,,AF,F
EWAF02,8469BE,1F3915,1F2AA5,,AF,F
EWAF03,1F358A,,,,AF,M
EWAF04,8430A9,,,,AF,F
EWAF61,1B3C5B,,,,AF,M
EWAF05,8473B3,,,,AF,M
EWAF06,8450BC,,,,AF,M
EWAF07,8476CF,,,,AF,F
EWAF08,84663F,,,,AF,F
EWAF10,844D98,,,,AF,M
EWAF11,1F2A11,,,,AF,M
EWAF12,1F29F6,,,,AF,F
EWMG01,843B0B,,,,MG,M
EWMG02,845AF5,,,,MG,F
EWMG03,847137,,,,MG,F
EWMG04,1F350B,,,,MG,F
EWMG05,8437DF,,,,MG,M
EWMG06,843B21,1F2D73,,,MG,M
EWMG07,1B34A3,,,,MG,?
EWMG09,1B3453,,,,MG,F
EWMG08,8448F3,,,,MG,F
EWMG10,1F26A2,,,,MG,M
EWMG11,8478EE,,,,MG,M
EWMG12,1F28E5,,,,MG,M
EWMG13,1F22BF,,,,MG,M
EWMG14,84333D,,,,MG,M
EWMG15,1F2C9C,,,,MG,M
EWMG16,844B3E,,,,MG,M
EWMG17,845443,,,,MG,M
EWMG18,1F22C4,,,,MG,M
EWMG19,1F2BA3,,,,MG,M
EWMG20,84761D,,,,MG,F
EWMG21,1F2E3B,,,,MG,M
EWMG22,1F2452,,,,MG,M
EWMG23,8447BE,,,,MG,M
EWMG24,1F27B8,,,,MG,M
EWMG25,1B461E,,,,MG,M
EWMG26,844C5E,,,,MG ,M
EWMG27,847390,,,,MG,M
EWMG28,846B04,,,,MG,M
EWMG29,84473F,,,,MG,F
EWMG30,1B3C21,,,,MG ,M
EWMG31,847C43,,,,MG,M
EWMG32,845611,,,,MG ,F
EWMG33,8428C5,,,,MG,M
EWMG34,8431D2,,,,MG,F
EWMG35,1F319E,,,,MG,M
EWMG36,1F2581,,,,MG ,F
EWMG37,1F3004,,,,MG,M
EWMG38,1F27E1,,,,MG ,F
EWMG39,1F337F,,,,MG,F
EWMG40,844D32,,,,MG,M
EWMG41,846379,,,,MG,M
EWMG42,1F2921,,,,MG,F
EWMG43,1F354F,,,,MG,M
EWMG44,847C0C,,,,MG,F
EWMG45,1F2F2E,,,,MG,M
EWMG46,8479D2,,,,MG,F
EWMG47,BBC2EA,,,,MG,M
EWMG48,1F2CDF,,,,MG,M
EWMG49,1F3302,,,,MG,F
EWMG50,842721,,,,MG,M
EWMG51,1F2212,,,,MG,M
EWMG52,1F39BC,,,,MG,M
EWMG53,84748D,,,,MG,F
EWMG54,1F3227,,,,MG,M
EWMG55,BB9A70,,,,MG,F
EWMG56,BB7617,,,,MG,M
EWMG57,8469A0,,,,MG,F
EWMG58,84408D,,,,MG,M
EWMG59,BBBBF4,,,,MG,F
EWMG60,1F3315,,,,MG,M
EWMG61,1F27F7,,,,MG,M
EWMG62,1F2776,,,,MG,F
EWMG63,1F27F9,,,,MG,F
EWMG64,8444BC,,,,MG,M
EWMG65,1F28B5,,,,MG,F
EWMG66,1F3071,,,,MG,M
EWMG67,1F345F,,,,MG,M
EWMG68,846FDD,,,,MG,M
EWMG69,1F3894,,,,MG,M
EWMG70,1F2F48,,,,MG,F
EWMG71,1F2AC9,,,,MG,M
EWMG72,843B50,,,,MG,F
EWMG73,1F3353,,,,MG,M
EWMG74,1F2FCE,,,,MG,F
EWMG75,BB9B1A,,,,MG,F
EWMG76,1F36E2,,,,MG,M?
EWMG77,842C8A,,,,MG,F
EWMG78,842F83,,,,MG,F
EWMG79,1B4528,,,,MG,M
EWMG80,BBC8AE,,,,MG,F
EWMG81,1F2B96,,,,MG,M
EWMG85,84755B,,,,MG,F
EWMG86,1F2E90,,,,MG,M
EWMG86A,BB7769,,,,MG,M
EWMG87,1B4843,,,,MG,F
EWMG88,1F2D44,,,,MG,F
EWMG89,1F3945,,,,MG,M?
EWMG90,1F29CA,,,,MG,M
EWMG91,BBC2E8,,,,MG,F
EWMG92,1F26E4,,,,MG,F
EWMG93,1F34CC,,,,MG,F
EWMG94,8450C4,,,,MG,F
EWMG95,845B68,,,,MG,M
EWMG96,8467F3,,,,MG,M
EWMG97,1F336B,,,,MG,M
EWMG98,8442C6,,,,MG,M
EWMG99,1F316F,,,,MG,M
EWMG100,1F2BBF,,,,MG,M
EWMG101,847093,,,,MG,M
EWMG102,84568E,,,,MG,M
EWMG103,8429A7,,,,MG,F
EWMG104,1F24A9,,,,MG,F
EWMG105,847BAC,,,,MG,M
EWMG106,1F29EC,,,,MG,M